rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:7mykoq6R3BArsSpNDjFQTm","Rosa Walton, Hallie Coggins","I Really Want to Stay at Your House","Lakeshore Records",1,1,13
2,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",1,2,44
3,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,3,23
4,"spotify:track:2nwXM9eHzj8eQBsuK9osbL","Luxury SA","Crazy Vibez","Luxury SA Entertainment",1,4,16
5,"spotify:track:7Hij0MzGIK43J8sQsrzcdB","RALAN STYLES","Baby Shark","New 11",5,5,16
6,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",5,7,51
7,"spotify:track:39JofJHEtg8I4fSyo7Imft","Eliza Rose, Interplanetary Criminal","B.O.T.A. (Baddest Of Them All) - Edit","Warner Records",3,6,40
8,"spotify:track:4mn5HdatHKN7iFGDes9G8i","RAT BOY, IBDY","Who's Ready for Tomorrow","Lakeshore Records",8,11,3
9,"spotify:track:58WiMFVLbAfmS7k4T0qKtG","Tariq, The Gregory Brothers, Recess Therapy","It's Corn","Gregory Residence",5,10,9
10,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",8,9,23
11,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select",11,12,23
12,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",3,8,38
13,"spotify:track:1jOgJN75btuUONIdf57vHz","Ice Spice","Munch (Feelin’ U)","Worldstar",4,13,30
14,"spotify:track:42VFqRvJt0IJ7cJoZDAo76","Oufadafada, Dj 8 Milli","I Cant Give Up Now","Brian Saul Entertainment",11,17,14
15,"spotify:track:0zi0Do3nO8LtRzlau2V7DR","Temple Boys Cpt","Werkhom 2.0 (Bonus Track)","Rejx Entertainment",8,14,38
